siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
US-NYcubl MS 1,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
P-Cua Cofre 27,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
E-SAu Ms 2637,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
P-Ln Iluminado 084,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
P-G C 1508,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
P-AR Res. Ms. 016,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
P-Gmas LC 003,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
E-Bbc Ms. 2322,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
E-E L. III. 3.,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
E-H Ms. 9 (ant. 25),1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
F-Pn NAL 1412,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
Antifonario s.s.,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
E-E L. III. 4.,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
E-LUc s.s.,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
CZ-Pu VI G 3a,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
CZ-Pn (Praha) XII A 21,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [13] XIII,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
H-Bu lat. 122,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [09] IX,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
F-R 248 (olim  A. 339),1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
D-Mbs Clm 4304,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
F-CH Ms 0050,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
H-Bu lat. 121,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
HR-Hf Cod. E Nr. 3,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
D-MZb E,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
D-Mbs Clm 4305,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [12] XII,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
US-NYcub Plimpton MS 041,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
CZ-Pu XII E 15b,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [03] III,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
E-Bbc M 785,1058,33,6,0,1,2,0,0,0,0,0,0,19,5,2,0,1,0,0,0,0,0,0,0
F-Collection privée Mont-Renaud,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-SOM Ms 0252,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
GB-Lbl Egerton 857,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
V-CVbav Vat. lat. 5319,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
CH-SGs Cod 338,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
CZ-Pn XIV D 12,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-AUT Ms S 0012 (11),684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-Pn Lat. 909,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
V-CVbav Ross.0076,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
B-Br Ms II 3823,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
CH-E Codex 121,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-AI Ms 0044,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-CA Ms 0061 (62),684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-CA Ms 0078 (79),684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-CHRm Ms 0047 (40),684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-Pn Lat. 1121,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-Pn Lat. 12050,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-Pn NAL 1235,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
GB-Lbl Harley 4951,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
I-BV 34,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-Pn Lat. 12584,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
D-KNd Ms 1001b,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
E-Bbc M 889,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
E-Bbc Ms. 1805,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
E-Bbc Ms. 3180,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-LG Ms 0002 (17),684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
I-BGc MA 150 (Psi III.8),684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
I-Bc Q 09,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-Pn Lat. 1087,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
I-Tn G.V.20,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
E-Mh Cód. 51,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
V-CVbav Vat. lat. 4770,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-Pn Lat. 9439,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-G Ms 84 (Ms. 395 Rés.),684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-NS Ms 0004,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-Pn NAL 1669,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
PL-WRu I F 411,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
V-CVbav Archivio di San Pietro F.22,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-AN Ms 0091,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
CZ-Pn XIII B 2,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
CZ-Pu XIII A 5c,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
D-B Ms mus 40078,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
D-BAa Msc Lit 7,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
D-Ful Aa 0006,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
E-Bbc M 648,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-LA Ms 239,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
CH-SGs Cod 340,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
CH-SGv VadSlg Ms 0295,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
D-BAa Msc Lit 6,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
D-Mbs Clm 03005,684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-AUT Ms S 0010 (8*),684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
F-CA Ms 0075 (76),684,0,8,0,1,2,0,0,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0
